feature_set,validation_rank_by_MAE,model,MAE_ms,RMSE_ms,R2,MedianAE_ms,P95_AE_ms,MaxAE_ms,Train_MAE_ms,Train_RMSE_ms,fit_time_s,validation_mean_inference_ms_per_row,serialized_model_kb,features
full_no_step,6,HistGradientBoosting,1.0114290743830485,1.3600728030027973,0.9808367730112355,0.7498416844078442,2.6345548991490437,7.660532325498579,0.6186259267837303,0.7956425958099442,0.27595971199997393,0.014159222222108131,706.2939453125,type|amount|oldbalanceOrg|oldbalanceDest|node_profile
full_with_step,5,HistGradientBoosting,0.9969836056652015,1.3481901422820632,0.9811701601610516,0.7494033625990255,2.7183784968207925,7.292916263770984,0.5739194941918153,0.7311294109486695,0.26587442099997816,0.014707113333290382,708.296875,type|amount|oldbalanceOrg|oldbalanceDest|step|node_profile
node_only,16,RandomForest,5.735036780369955,6.749459525341772,0.5280648488937978,5.444960361627942,12.012419798780504,14.52413398780508,5.75342760534968,6.757600075445856,0.17720607799998334,0.016910277777747573,179.1513671875,node_profile
type_node,1,RandomForest,0.921989524841412,1.2458277795953738,0.9839209512271737,0.745050044958683,2.508650673366463,7.359583176456603,0.9427540337060959,1.2274181812729226,0.22143485100002636,0.019447155555604292,686.458984375,type|node_profile
