transaction_id,node_profile,type,final_block,count,median,mean,std,min,max,cv_pct,range_pct_of_median
60c708fb-7463-52e9-96b5-b50c816fcb7e,Medium,CASH_IN,10,5,26.931071,26.983946600000003,5.83196751082641,21.646405,35.688291,21.612729958583632,52.140094985453786
11aebadb-66f8-5dad-b88f-38cf092fb1db,Medium,CASH_IN,10,5,30.832749,28.783891800000003,5.527674932754793,21.715381,35.706508,19.204056807755205,45.377488072828015
39b5f649-fc3c-5de6-bbab-1a12422f73da,Medium,CASH_IN,10,5,29.011469,27.9301238,5.143611595356049,21.723383,34.174575,18.415999986924685,42.91817143075381
e39a7439-f8ae-5ecd-a3c7-3936a6c3317d,Medium,CASH_IN,6,5,28.618201,27.488969200000003,4.85691674950963,22.399609,33.209849,17.66860268267036,37.77400263559543
58332f6a-b247-5419-ae5c-b44aad21a282,Medium,PAYMENT,10,5,30.670648,32.094565599999996,5.628660974258559,25.11709,37.987765,17.537738458309466,41.964144350650834
2ac27ae0-f91b-5a9c-ac42-ae4a2d80de4f,Medium,CASH_IN,8,5,28.208499,27.7512588,4.726847386648229,23.160245,34.381463,17.03291162651054,39.779564307905915
fd8fe201-6cd3-5a6a-9193-18897b9e46a9,Low,CASH_IN,7,5,34.890266,36.621012,6.217195981682297,30.931815,46.847385,16.977127725695556,45.61607526867237
2b7495fe-5b41-54ab-a779-3ac6d858464a,Medium,CASH_OUT,3,5,36.921741,40.340977599999995,6.8259343900552425,36.637833,52.418953,16.920597358194026,42.742079795207935
3d478182-b4f9-5855-b5e7-42c7dbe33b0d,Medium,CASH_IN,4,5,26.77885,28.007692400000003,4.7258086663266745,24.566073,36.122501,16.873252529461062,43.15505706929163
c2b5a4ea-5cbb-5bea-9743-e1c8cde7d548,Low,PAYMENT,1,5,39.408869,40.8920086,6.864117643754389,32.662763,48.917514,16.78596351404071,41.24642856408794
885d8f13-c8e7-58aa-bc82-7f145ed7653b,Medium,CASH_IN,10,5,25.930396,27.3015716,4.530081560961712,21.607398,32.916737,16.59275014395769,43.614216304294
d6872277-0998-56a9-9fe1-0d83942f0f42,High,CASH_IN,5,5,21.103701,23.5824132,3.853234250467612,20.392684,28.429093,16.3394399792283,38.08056700575886
