final_block,node_profile,count,median,mean,min,max
1,High,100,0.4734603539312876,0.7435542252980308,-0.624932606400519,6.571705453972032
1,Low,100,-0.9765156591045487,-1.0473779080024546,-9.869278066632958,6.2828127783675525
1,Medium,100,-0.6049229154392599,0.15213250929609556,-5.144620108562059,15.977404348765333
2,High,100,-2.4626965724831864,-2.4308530246542936,-3.5035580325073257,1.7664767863158959
2,Low,100,-1.325257000562774,-0.5365587333758423,-8.510617396738008,6.240968414920189
2,Medium,100,0.8838874077607972,0.9492615203605067,-6.392920488592935,14.123985381136595
3,High,100,-1.4589193449606686,-1.3690917506154878,-2.630364520098838,0.9136773144750476
3,Low,100,-0.3598749945234625,0.03288475539180827,-12.735055388937266,8.618087175204403
3,Medium,100,-0.44801570028478177,-0.5352555979698961,-5.516508588500901,8.559836577694702
4,High,100,3.9830945449949473,4.360345230273007,0.7867193635812342,9.149009750395765
4,Low,100,0.054906581786828834,-0.1102082432313333,-9.452609582103587,7.805051905529625
4,Medium,100,-1.1416548635232004,-0.8944501822550496,-8.290125542390946,15.423830064124067
5,High,100,-2.663959701649521,-2.538014248598349,-3.9708549735187004,1.2621724282957603
5,Low,100,-0.7291547701454182,-1.0609031071180262,-13.354461435840914,5.783582982739999
5,Medium,100,-0.3364112064212832,-0.3113937878109573,-6.908288813120322,6.682682310305421
6,High,100,7.5761367589662125,8.027574065404014,2.68111980516752,21.505616080086476
6,Low,100,0.5161347947744588,0.34466621534281366,-14.59852348980959,16.72513295847857
6,Medium,100,1.0076367981881162,0.6760000679079239,-4.634151856192781,6.864832458952819
7,High,100,-1.0695435777265783,-0.9409443878252566,-1.9496964404243977,0.7461433222914149
7,Low,100,1.7981800566062578,0.8940280112359913,-7.190234472142032,11.116421821608657
7,Medium,100,-0.030340979238491217,1.0321585514449836,-8.351481023662966,10.547964901309781
8,High,100,-2.738405973991198,-2.615692294688763,-3.6867819706219995,7.63489350526112
8,Low,100,-1.0490475847548808,-0.6074170538724161,-8.278264485255226,8.268150517195338
8,Medium,100,0.39222181353020247,0.46840950049490027,-6.715488076900833,11.595216492698434
9,High,100,3.0837800323108455,3.254358586371247,0.8417216851868137,6.0917523843270205
9,Low,100,-0.09725059248779089,-0.3361443890359228,-12.94206856840676,6.352184454816867
9,Medium,100,0.706933569150825,0.5125918338417907,-5.421065133555214,6.374871828223427
10,High,100,2.478934260110699,2.9351743758664446,0.5329096618474471,11.867521442353258
10,Low,100,1.1849974392003082,0.8801133947506861,-7.780699705517713,13.225846747055247
10,Medium,100,0.34619307820334955,0.6315152327496378,-6.9735313442787605,11.031487422078733
