"model","MAE_ms","RMSE_ms","R2","P95AE_ms"
"HistGradientBoosting","2.3430765055840976","3.651665848572742","0.9871036805885871","8.28677527033698"
"RandomForest","2.438896173535425","3.812036995712365","0.9859460651841019","8.509673639114128"
"ExtraTrees","2.455346427924706","3.862554127903613","0.9855711114729818","8.600043883703778"
"DecisionTree","2.45673775187094","3.8686560817823583","0.985525486762268","8.658064443314203"
"LinearRegression","4.7795800685251235","6.82596959288774","0.9549377969735124","15.19364394252299"
